skill,question_index,type,question,choices,skill_url
Use context to identify the meaning of a word,1,multiple-choice,"Read the passage and then answer the question. Invented in 1448, Johann Gutenberg's printing press is often credited with being the first press in Europe with moveable type. The press used small blocks carved with individual letters of the alphabet. Gutenberg could arrange and rearrange these blocks into almost infinite combinations to make any word, sentence or passage that was desired. Once a page was printed, the same blocks could be reconfigured to create the next page. Gutenberg's printing press, which allowed for the dissemination of printed materials, helped lead to widespread changes in European society. Previously, few people had access to books. Each book had to be carefully copied by hand in an expensive and time-consuming process. With the printing press, books could quickly be produced in large numbers, reducing their price and allowing them to be distributed to a greater number of people. More books meant more people could learn to read and write, ultimately leading to a more literate public. All these changes are thought to have facilitated the rise of the Renaissance in Europe. What is the meaning of reconfigured as used in the passage?",erased | reordered | duplicated | remade,https://uk.ixl.com/english/year-9/use-context-to-identify-the-meaning-of-a-word
Determine the meaning of domain-specific words with pictures,1,multiple-choice,"Read the text. A conditioned response occurs when an animal learns to associate two events that were not originally related. For example, a dog will naturally salivate at the smell of food (an unconditioned response). However, if a dog learns that the sound of a ringing bell is a sure sign that dinner is coming, it will begin to react to the sound of that bell the same way it reacts to the smell of food (a conditioned response). This is called classical conditioning. Operant conditioning is a process like classical conditioning. However, in classical conditioning, the events that an animal learns to associate are not under the animal's voluntary control. In",operant conditioning | classical conditioning,https://uk.ixl.com/english/year-9/determine-the-meaning-of-domain-specific-words-with-pictures
Alphabetical order,1,unknown,Put the words in alphabetical order. yelp yes victim year Submit,,https://uk.ixl.com/english/year-9/alphabetical-order
Use guide words,1,multiple-choice,Which word would you find on a dictionary page with the following guide words? why - word,willow | wart,https://uk.ixl.com/english/year-9/use-guide-words
Use dictionary entries,1,unknown,"Select the etymology in this dictionary entry. integrate \in-ti-greyt\ verb integrating, integrated 1. to bring parts together or unify: Our proposal integrates all of the ideas we discussed during the meeting. 2. to become part of a larger unit: After moving abroad, Helga struggled to integrate into the foreign culture. 3. to remove racial barriers in an area or location; desegregate: Civil rights legislation helped to integrate public facilities in America in the 1960s. — from Latin (integrare) Submit",,https://uk.ixl.com/english/year-9/use-dictionary-entries
Use dictionary definitions,1,unknown,"Look at this sentence: Before she moved to London, Ms Edwards had romantic expectations about life in the big city. Select the definition of romantic that the sentence uses. romantic \rou-man-tik\ adjective more romantic, most romantic 1. displaying or expressing love: The couple took a romantic stroll along the moonlit beach. 2. unrealistic or impractical: Max had romantic dreams about becoming a world-famous musician. 3. false or imaginary: Critics panned the autobiography as a romantic recollection of past events. — from French (romantique) Submit",,https://uk.ixl.com/english/year-9/use-dictionary-definitions
Use thesaurus entries,1,multiple-choice,"Look at this thesaurus entry: attain Part of speech: verb Definition: to reach as an end Synonyms: accomplish, achieve, reach, realise Which might someone attain?",a goal | your destination on a car trip,https://uk.ixl.com/english/year-9/use-thesaurus-entries
"Is the sentence declarative, interrogative, imperative or exclamatory?",1,multiple-choice,"What kind of sentence is this? Do you know Toby from football training, or do you have another connection with him?",exclamatory | interrogative | declarative,https://uk.ixl.com/english/year-9/is-the-sentence-declarative-interrogative-imperative-or-exclamatory
Identify the complete subject or complete predicate of a sentence,1,unknown,Select the two words that make up the complete subject. Two skiers criss-cross the snowy hill. Submit,,https://uk.ixl.com/english/year-9/identify-the-complete-subject-or-complete-predicate-of-a-sentence
Identify the simple subject or simple predicate of a sentence,1,unknown,Select the simple subject. I limit my time watching television each day. Submit,,https://uk.ixl.com/english/year-9/identify-the-simple-subject-or-simple-predicate-of-a-sentence
Identify the compound subject or compound predicate of a sentence,1,unknown,Select the seven words that make up the complete compound predicate. Grace caught the beetle and released it outside. Submit,,https://uk.ixl.com/english/year-9/identify-the-compound-subject-or-compound-predicate-of-a-sentence
Is it a complete sentence or a fragment?,1,multiple-choice,Which is a complete sentence?,Had not ridden a horse before going on holiday last year. | Jack and Miranda both handle themselves well under pressure.,https://uk.ixl.com/english/year-9/is-it-a-complete-sentence-or-a-fragment
Is it a complete sentence or a run-on?,1,multiple-choice,"Which is a complete sentence? Let's spruce up this room, new curtains would be an improvement.",A leap year typically occurs every four years.,https://uk.ixl.com/english/year-9/is-it-a-complete-sentence-or-a-run-on
Is it a complete sentence or a run-on?,2,multiple-choice,Which is a complete sentence?,"Let's spruce up this room, new curtains would be an improvement. | A leap year typically occurs every four years.",https://uk.ixl.com/english/year-9/is-it-a-complete-sentence-or-a-run-on
"Is it a complete sentence, a fragment or a run-on?",1,multiple-choice,Which is a run-on sentence? The presence of Soviet missiles in Cuba contributed to the Cuban Missile Crisis of 1962.,Chocolate chip cookies are my favourite Jude prefers lemon muffins.,https://uk.ixl.com/english/year-9/is-it-a-complete-sentence-a-fragment-or-a-run-on
"Is it a complete sentence, a fragment or a run-on?",2,multiple-choice,Which is a run-on sentence?,The presence of Soviet missiles in Cuba contributed to the Cuban Missile Crisis of 1962. | Chocolate chip cookies are my favourite Jude prefers lemon muffins.,https://uk.ixl.com/english/year-9/is-it-a-complete-sentence-a-fragment-or-a-run-on
Is it a phrase or a clause?,1,multiple-choice,Is the group of words in bold a,phrase | clause,https://uk.ixl.com/english/year-9/is-it-a-phrase-or-a-clause
Identify appositives and appositive phrases,1,unknown,"Select the appositive or appositive phrase. The first athlete to score a perfect ten in an Olympic gymnastic event was Nadia Comăneci, a Romanian gymnast. Submit",,https://uk.ixl.com/english/year-9/identify-appositives-and-appositive-phrases
Identify dependent and independent clauses,1,unknown,"Select the dependent clause. While the venomous bite of a centipede is not typically life-threatening, it can be exceptionally painful. Submit",,https://uk.ixl.com/english/year-9/identify-dependent-and-independent-clauses
"Is the sentence simple, compound, complex or compound-complex?",1,multiple-choice,"Which type of sentence is this? Aaron has an unconventional swing, but he manages to drive the ball farther than some professional golfers. simple",compound | complex | compound-complex,https://uk.ixl.com/english/year-9/is-the-sentence-simple-compound-complex-or-compound-complex
Combine sentences using relative clauses,1,unknown,"Read the sentences. The star HD 162826 has been called a solar sibling to our sun. HD 162826 was probably born in the same gas cloud. Now combine the sentences by completing the relative clause. The star HD 162826, which was probably born in the same gas cloud. Submit",,https://uk.ixl.com/english/year-9/combine-sentences-using-relative-clauses
Form and use plurals: review,1,unknown,"Complete the sentence with the correct plural. Okapis—animals with reddish-brown backs and white stripes on their legs—may resemble zebras, but they are actually more closely related to giraffe Submit",,https://uk.ixl.com/english/year-9/form-and-use-plurals-review
Form and use plurals of compound nouns,1,unknown,"Complete the sentence with the correct plural. For legal purposes, it's imperative that you make photocopy of all correspondences between you and your lawyer. Submit",,https://uk.ixl.com/english/year-9/form-and-use-plurals-of-compound-nouns
"Identify plurals, singular possessives and plural possessives",1,multiple-choice,What is the word in bold? Rumours are spreading like wildfire about the prime minister's upcoming plans for re-election. a singular possessive noun,a plural possessive noun,https://uk.ixl.com/english/year-9/identify-plurals-singular-possessives-and-plural-possessives
Form the singular or plural possessive,1,unknown,Type the possessive form of the given noun. a butler duties Submit,,https://uk.ixl.com/english/year-9/form-the-singular-or-plural-possessive
Identify and correct errors with plural and possessive nouns,1,unknown,Find the plural or possessive error. Select it and type it correctly. Cats' powerful night vision enables them to see at level's of light six times lower than what humans need in order to see Submit,,https://uk.ixl.com/english/year-9/identify-and-correct-errors-with-plural-and-possessive-nouns
Identify and correct errors with compound and joint possession,1,unknown,Click to correct the text if needed. Susan and Olivia's commitment to help each other in school has the potential to benefit them both tremendously. Submit,,https://uk.ixl.com/english/year-9/identify-and-correct-errors-with-compound-and-joint-possession
Identify pronouns and their antecedents,1,unknown,"Select the pronoun whose antecedent is Julia Child. Before becoming a cookbook author and TV host, Julia Child learned about French food while living in Paris with her husband, Paul. Submit",,https://uk.ixl.com/english/year-9/identify-pronouns-and-their-antecedents
Use the pronoun that agrees with the antecedent,1,unknown,"Complete the sentence with the pronoun that agrees with the word or words in bold. Escape artist Harry Houdini may have started his career in New York, but it was a tour of Europe that made a star. Submit",,https://uk.ixl.com/english/year-9/use-the-pronoun-that-agrees-with-the-antecedent
Correct inappropriate shifts in pronoun number and person,1,unknown,Find the incorrect pronoun and type it correctly. People with positive attitudes tend to be more successful in life because you are more likely to focus on solutions rather than problems Submit,,https://uk.ixl.com/english/year-9/correct-inappropriate-shifts-in-pronoun-number-and-person
Identify vague pronoun references,1,multiple-choice,Which of the following contains a vague pronoun reference?,"Samantha split up the baking duties with Tessa, so all Samantha had to do was mix together the dry ingredients.",https://uk.ixl.com/english/year-9/identify-vague-pronoun-references
Identify all of the possible antecedents,1,unknown,"The pronoun in bold is vague. Select all of its possible antecedents. Bessie Coleman and Amelia Earhart were both talented American aviators in the 1920s, but she faced more obstacles during her career. Submit",,https://uk.ixl.com/english/year-9/identify-all-of-the-possible-antecedents
Choose between subject and object pronouns,1,multiple-choice,Select the correct pronoun to complete the sentence. Are you absolutely certain that it was,her | she,https://uk.ixl.com/english/year-9/choose-between-subject-and-object-pronouns
Compound subjects and objects with 'I' and 'me',1,multiple-choice,Select the correct pronoun to complete the sentence. A flock of ravens soared far above my brother and I,me,https://uk.ixl.com/english/year-9/compound-subjects-and-objects-with-i-and-me
Compound subjects and objects with pronouns,1,multiple-choice,"Select the correct pronoun to complete the sentence. After Luca and Amber's amazing dance performance, and their parents celebrated. they",them,https://uk.ixl.com/english/year-9/compound-subjects-and-objects-with-pronouns
Choose between personal and reflexive pronouns,1,multiple-choice,Select the best pronoun to complete the sentence. The common iguana defends by using its sharp tail as a whip. itself,themselves,https://uk.ixl.com/english/year-9/choose-between-personal-and-reflexive-pronouns
Choose between personal and reflexive pronouns,2,multiple-choice,Select the best pronoun to complete the sentence. The common iguana defends themselves by using its sharp tail as a whip.,itself | themselves,https://uk.ixl.com/english/year-9/choose-between-personal-and-reflexive-pronouns
Choose between personal and reflexive pronouns,3,multiple-choice,Select the best pronoun to complete the sentence. The common iguana defends,itself | themselves,https://uk.ixl.com/english/year-9/choose-between-personal-and-reflexive-pronouns
Use reflexive pronouns,1,unknown,"Complete the sentence with a pronoun that refers back to the subject in bold. If they had put snow tyres on their car, they could have spared the trouble of getting stuck in the snow. Submit",,https://uk.ixl.com/english/year-9/use-reflexive-pronouns
Is the pronoun reflexive or intensive?,1,multiple-choice,Is the pronoun in bold reflexive or,intensive,https://uk.ixl.com/english/year-9/is-the-pronoun-reflexive-or-intensive
Is the pronoun reflexive or intensive?,2,multiple-choice,Is the pronoun in bold,reflexive | intensive,https://uk.ixl.com/english/year-9/is-the-pronoun-reflexive-or-intensive
Use relative pronouns: who and whom,1,unknown,"Complete the sentence with the best relative pronoun. In 2014, sailors were members of the Polynesian Voyaging Society embarked on a three-year journey around the world using only traditional navigation techniques of the ancient Polynesians and Hawaiians. Submit",,https://uk.ixl.com/english/year-9/use-relative-pronouns-who-and-whom
"Use relative pronouns: who, whom, whose, which and that",1,unknown,"Complete the sentence with the best relative pronoun. On the Road, a novel based on cross-country trips taken by the author in the late 1940s, was written by Jack Kerouac, became known as one of the pioneering voices of the Beat Generation. Submit",,https://uk.ixl.com/english/year-9/use-relative-pronouns-who-whom-whose-which-and-that
Identify transitive and intransitive verbs,1,unknown,"Select the action verb. If the verb is transitive, also select its direct object. One of the most destructive earthquakes in recent history occurred in Kashmir and Pakistan on 8 October 2005. Submit",,https://uk.ixl.com/english/year-9/identify-transitive-and-intransitive-verbs
"Identify linking verbs, predicate adjectives and predicate nouns",1,unknown,Select the linking verb and the predicate noun or predicate adjective. Sophia's holiday to Paris at the age of four remains her most vivid childhood memory. Submit,,https://uk.ixl.com/english/year-9/identify-linking-verbs-predicate-adjectives-and-predicate-nouns
Correct errors with subject-verb agreement,1,unknown,Find the error with subject-verb agreement. Select the incorrect verb and type it correctly. The prime minister's speech address his commitment to improving relationships with major international trade partners Submit,,https://uk.ixl.com/english/year-9/correct-errors-with-subject-verb-agreement
Correct errors with indefinite pronoun-verb agreement,1,unknown,Find the error with subject-verb agreement. Select the incorrect verb and type it correctly. In George Orwell's novel 1984 everyone exist in a totalitarian society or a society in which the state has complete control Submit,,https://uk.ixl.com/english/year-9/correct-errors-with-indefinite-pronoun-verb-agreement
Use the correct verb – with compound subjects,1,multiple-choice,"Complete the sentence with the best verb. On rainy days, Emmet and his friends to invent new board games. like",likes,https://uk.ixl.com/english/year-9/use-the-correct-verb-with-compound-subjects
Use the correct verb – with compound subjects,2,multiple-choice,"Complete the sentence with the best verb. On rainy days, Emmet and his friends",like | likes,https://uk.ixl.com/english/year-9/use-the-correct-verb-with-compound-subjects
Irregular past tense: review,1,unknown,Complete the sentence with the verb in the past tense. We teach Kamal how to do the puzzle. Submit,,https://uk.ixl.com/english/year-9/irregular-past-tense-review
"Simple past, present and future tense: review",1,unknown,"Complete the sentence with the future-tense form of the verb. The forecast is predicting colder temperatures later this afternoon, so the precipitation turn to snow. Submit",,https://uk.ixl.com/english/year-9/simple-past-present-and-future-tense-review
Identify and correct inappropriate shifts in verb tense,1,unknown,"Does the following text have an inappropriate shift in verb tense? If so, fix any verbs that don't match the tense of the verb in bold. If not, submit the text without making any changes. The photovoltaic cells in solar panels use energy from absorbed light to knock electrons in the cells loose Electric fields in the cells then directed the electrons in a particular direction creating a flow of electricity Submit",,https://uk.ixl.com/english/year-9/identify-and-correct-inappropriate-shifts-in-verb-tense
Form the progressive verb tenses,1,unknown,Complete the sentence with the future progressive form of the verb. 'Please keep this a secret: Daniel and I elope in two weeks!' Becky confided to her best friend. Submit,,https://uk.ixl.com/english/year-9/form-the-progressive-verb-tenses
Form the perfect verb tenses,1,unknown,"Complete the sentence with the present perfect form of the verb. Several reporters try to reach the police commissioner for his response to the rumours of his resignation, but he has not returned their calls. Submit",,https://uk.ixl.com/english/year-9/form-the-perfect-verb-tenses
Identify participles and what they modify,1,unknown,"Select the participle or participial phrase. In 2013, German authorities discovered more than one thousand pieces of artwork hidden in the Munich home of an elderly recluse. Submit",,https://uk.ixl.com/english/year-9/identify-participles-and-what-they-modify
Identify gerunds and their functions,1,unknown,"Select the gerund or gerund phrase. Carpooling saves petrol, cuts down on fuel emissions released into the air and reduces the number of cars on already crowded roads. Submit",,https://uk.ixl.com/english/year-9/identify-gerunds-and-their-functions
Identify infinitives and infinitive phrases,1,unknown,"Select the infinitive or infinitive phrase. Despite having more clothes than she could possibly need, Eloise always complains that she has nothing to wear. Submit",,https://uk.ixl.com/english/year-9/identify-infinitives-and-infinitive-phrases
Identify adjectives,1,unknown,"Select the one adjective. Don't select any articles (a, an, or the). Before a marathon, runners often eat carbohydrates such as pasta or potatoes because the body converts these foods into glucose, a sugar that provides energy. Submit",,https://uk.ixl.com/english/year-9/identify-adjectives
Order adjectives,1,unknown,Put the words in the right order to describe the noun. vast the ranch Texan Submit,,https://uk.ixl.com/english/year-9/order-adjectives
Identify adverbs,1,unknown,Select the one adverb. It was exciting to watch the ballerina as she leapt gracefully into the arms of her partner. Submit,,https://uk.ixl.com/english/year-9/identify-adverbs
Choose between adjectives and adverbs,1,multiple-choice,"Choose the word that best describes or modifies the verb in bold. The young lawyer misplaced a highly important legal document, but he found it just in time for the trial.",accidental,https://uk.ixl.com/english/year-9/choose-between-adjectives-and-adverbs
Is the word an adjective or adverb?,1,multiple-choice,Is the word in bold an adjective or an,adverb,https://uk.ixl.com/english/year-9/is-the-word-an-adjective-or-adverb
Is the word an adjective or adverb?,2,multiple-choice,Is the word in bold an,adjective | adverb,https://uk.ixl.com/english/year-9/is-the-word-an-adjective-or-adverb
Form and use comparative and superlative adjectives,1,unknown,Complete the sentence with the correct comparative or superlative adjective. The chocolate cake that Leah bought at the bake sale was moist than the brownie. Submit,,https://uk.ixl.com/english/year-9/form-and-use-comparative-and-superlative-adjectives
"Good, better, best, bad, worse and worst",1,unknown,Complete the sentence with the correct comparative or superlative adjective. Terence thought that the pain from the wasp sting was bad than the pain from any bee sting he had ever experienced. Submit,,https://uk.ixl.com/english/year-9/good-better-best-bad-worse-and-worst
Form and use comparative and superlative adverbs,1,unknown,Complete the sentence with the correct comparative or superlative adverb. It seemed as though the prosecutor had examined the evidence thoroughly than the defence counsel had. Submit,,https://uk.ixl.com/english/year-9/form-and-use-comparative-and-superlative-adverbs
"Well, better, best, badly, worse and worst",1,unknown,"Complete the sentence with the correct comparative or superlative adverb. We've had several mechanics work on our car, but Mr King always repairs it well Submit",,https://uk.ixl.com/english/year-9/well-better-best-badly-worse-and-worst
Identify prepositional phrases,1,unknown,Select the one prepositional phrase. A bon mot is a witty response. In French the phrase literally means 'good word'. Submit,,https://uk.ixl.com/english/year-9/identify-prepositional-phrases
Is it a direct object or an indirect object?,1,multiple-choice,Is the phrase in bold a direct object or an,indirect object,https://uk.ixl.com/english/year-9/is-it-a-direct-object-or-an-indirect-object
Is it a direct object or an indirect object?,2,multiple-choice,Is the phrase in bold a,direct object | indirect object,https://uk.ixl.com/english/year-9/is-it-a-direct-object-or-an-indirect-object
Use the correct pair of correlative conjunctions,1,multiple-choice,"Complete the sentence with the better correlative conjunctions. Many experts have tried to explain the function of dreams. you're interested in dream analysis, you might want to read psychologist Carl Jung's theories. Neither . . . nor",If . . . then,https://uk.ixl.com/english/year-9/use-the-correct-pair-of-correlative-conjunctions
Misplaced modifiers with pictures,1,multiple-choice,Which sentence better matches the image?,"Squinting against the sunlight, the mountain's snowy peak came into view. | Squinting against the sunlight, I saw the mountain's snowy peak come into view.",https://uk.ixl.com/english/year-9/misplaced-modifiers-with-pictures
Select the misplaced or dangling modifier,1,unknown,"Select the misplaced or dangling modifier. The curtains had already begun to close when, after taking a perfunctory bow, deafening applause brought the symphony conductor back to the stage for a final encore. Submit",,https://uk.ixl.com/english/year-9/select-the-misplaced-or-dangling-modifier
Are the modifiers used correctly?,1,multiple-choice,Which sentence is correct?,"Barking, chirping and growling, the marsh behind my holiday cottage is noisy with frogs and their evening mating calls. | The marsh behind my holiday cottage is noisy with the evening mating calls of frogs barking, chirping and growling.",https://uk.ixl.com/english/year-9/are-the-modifiers-used-correctly
Commas with non-restrictive elements,1,unknown,"If the relative clause in bold is non-restrictive, set it off with commas. If it is restrictive, submit the text without making any changes. , When we were kids, my eldest brother whose imagination knew no limits would entertain us for hours with his fanciful stories. Submit",,https://uk.ixl.com/english/year-9/commas-with-non-restrictive-elements
Commas with compound and complex sentences,1,unknown,"Correct the text by inserting one comma. , Thousands of animal species die off every year but scientists believe they may be able to use DNA to bring some extinct species back to life. Submit",,https://uk.ixl.com/english/year-9/commas-with-compound-and-complex-sentences
"Commas with direct addresses, introductory words, interjections and interrupters",1,unknown,"Correct the text by inserting one comma. , Oops Florence left her yoga mat and water bottle at the gym. Submit",,https://uk.ixl.com/english/year-9/commas-with-direct-addresses-introductory-words-interjections-and-interrupters
Commas with coordinate adjectives,1,unknown,"Insert one comma to separate the coordinate adjectives. , In the book Catch-22, written by the modern American author Joseph Heller, World War II airmen face an absurd frustrating contradiction: only the insane can opt out of the dangerous flights, yet trying to opt out is viewed as proof of sanity. Submit",,https://uk.ixl.com/english/year-9/commas-with-coordinate-adjectives
Use semicolons and commas to separate clauses,1,unknown,"Add a comma or semicolon if needed. Otherwise, submit the text without any additional punctuation. In 2005, the dwarf planet Eris was it was named for the Greek goddess of chaos, strife and discord. Submit",,https://uk.ixl.com/english/year-9/use-semicolons-and-commas-to-separate-clauses
"Use semicolons, colons and commas with lists",1,unknown,"Add a comma, semicolon or colon if needed. Otherwise, submit the text without any additional punctuation. Dermatophytes are fungi that flourish on our outer skin layers—particularly in moist environments—and can live clothes, hairbrushes, towels and other items. Submit",,https://uk.ixl.com/english/year-9/use-semicolons-colons-and-commas-with-lists
"Use semicolons, colons and commas with lists",2,unknown,"Add commas, semicolons or colons if needed. Otherwise, submit the text without any additional punctuation. When the Wilsons purchased their home, it needed a new new cladding and a new electrical and new plumbing. Submit",,https://uk.ixl.com/english/year-9/use-semicolons-colons-and-commas-with-lists
Use dashes,1,unknown,"Insert one dash where needed. — Beneath the church of Santa Maria della Concezione in Rome, Italy, lies a burial chamber a six-room crypt filled with the skulls and other bones of about four thousand monks. Submit",,https://uk.ixl.com/english/year-9/use-dashes
Use hyphens in compound adjectives,1,unknown,"Add hyphens to compound adjectives where necessary. If no hyphens are needed, submit the text without making any changes. - 'Chocolate covered fruit is my guilty pleasure,' Leon confessed. 'It doesn't matter if it's a fresh strawberry or a piece of dried mango—I just can't resist.' Submit",,https://uk.ixl.com/english/year-9/use-hyphens-in-compound-adjectives
Decide whether ellipses are used appropriately,1,multiple-choice,Read this text. Fufu is a staple Ghanaian food made from the pulp of cassava and plantain mashed together and served in a bowl of spicy soup. Is this an appropriate use of an ellipsis? 'Fufu is a staple Ghanaian food . . . served in a bowl of spicy soup.',"yes | no, because the text with an ellipsis no longer has the same meaning",https://uk.ixl.com/english/year-9/decide-whether-ellipses-are-used-appropriately
Correct capitalisation errors,1,unknown,"Click to correct the one capitalisation error. By urban population, Mexico City, the Capital of Mexico, is the largest city in North America. Submit",,https://uk.ixl.com/english/year-9/correct-capitalisation-errors
Capitalising titles,1,unknown,Click to capitalise the film's title correctly. the elephant man Submit,,https://uk.ixl.com/english/year-9/capitalising-titles
Formatting titles,1,multiple-choice,Which correctly shows the title of a book?,'An Eye for an Eye' | An Eye for an Eye,https://uk.ixl.com/english/year-9/formatting-titles
Formatting and capitalising titles: review,1,multiple-choice,Which sentence is correct? Caspar read an interesting book called 'Let's Go for a Drive!'.,Caspar read an interesting book called Let's Go for a Drive! | Caspar read an interesting book called Let's Go for A Drive!,https://uk.ixl.com/english/year-9/formatting-and-capitalising-titles-review
Formatting and capitalising titles: review,2,multiple-choice,Which sentence is correct?,Caspar read an interesting book called 'Let's Go for a Drive!'. | Caspar read an interesting book called Let's Go for a Drive! | Caspar read an interesting book called Let's Go for A Drive!,https://uk.ixl.com/english/year-9/formatting-and-capitalising-titles-review
